,City,Direct_flights_count
1311,Varanasi,10
1312,Vijayawada,3
1313,Vishakhapatnam,18
1314,Ambon,14
1315,Babo,1
1316,Balikpapan,36
1317,Banda Aceh,5
1318,Bandar Lampung-Sumatra Island,5
1319,Bandung,21
1320,Banjarmasin,15
1321,Batam,27
1322,Bau-Bau,1
1323,Bengkulu,5
1324,Biak,4
1325,Bima,3
1326,Denpasar,100
1327,Dobo,1
1328,Ende,4
1329,Fak Fak,3
1330,Gorontalo,4
1331,Jakarta,185
1332,Jambi,6
1333,Jayapura,17
1334,Kaimana,3
1335,Kao,1
1336,Kendari,4
1337,Ketapang,2
1338,Kupang,10
1339,Labuhan Bajo,4
1340,Langgur-Kei Islands,3
1341,Luwuk,2
1342,Malang,3
1343,Manado,21
1344,Manokwari,7
1345,Maumere,3
1346,Melonguane,1
1347,Merauke,3
1348,Nabire,3
1349,Naha,1
1350,Oksibil,1
1351,Padang,7
1352,Palangkaraya,3
1353,Palembang,14
1354,Palu,8
1355,Pangkal Pinang,7
1356,Pangkalan Bun,7
1357,Pekanbaru,18
1358,Pontianak,6
1359,Poso,1
1360,Praya,16
1361,Ranai-Natuna Besar Island,1
1362,Saumlaki,1
1363,Semarang,17
1364,Solo City,8
1365,Sorong,8
1366,Surabaya,65
1367,Tanjung Pandan,4
1368,Tanjung Pinang,3
1369,Tanjung Redep-Borneo Island,3
1370,Taraken,7
1371,Ternate,8
1372,Timika,4
1373,Ujung Pandang,56
1374,Waikabubak-Sumba Island,3
1375,Waingapu,1
1376,Wamena,1
1377,Yogyakarta,29
1378,Abadan,6
1379,Ahwaz,24
1380,Ardabil,3
1381,Bakhtaran,6
1382,Bam,1
1383,Bandar Abbas,19
1384,Bandar Lengeh,2
1385,Bandar Mahshahr,2
1386,Birjand,2
1387,Bojnourd,1
1388,Bushehr,5
1389,Chah Bahar,6
1390,Dasht-e-naz,6
1391,Dezful,1
1392,Esfahan,20
1393,Gachsaran,1
1394,Gorgan,6
1395,Hamadan,1
1396,Ilam,1
1397,Kerman,4
1398,Khalije Fars,5
1399,Khorram Abad,1
1400,Khoy,1
1401,Kish Island,16
1402,Lamerd,3
1403,Lar,6
1404,Mashhad,65
1405,Noshahr,2
1406,Parsabad,1
1407,Ramsar,2
1408,Rasht,10
1409,Sabzevar,1
1410,Sanandaj,1
1411,Shiraz,39
1412,Siri Island,1
1413,Tabriz,15
1414,Teheran,62
1415,Tehran,60
1416,Uromiyeh,3
1417,Yasuj,1
1418,Yazd,7
1419,Zabol,1
1420,Zahedan,11
1421,Baghdad,14
1422,Basrah,8
1423,Erbil,30
1424,Mosul,3
1425,Najaf,11
1426,Sulaymaniyah,10
1427,Connaught,15
1428,Cork,34
1429,Dongloe,2
1430,Dublin,207
1431,Kerry,6
1432,Shannon,29
1433,Waterford,2
1434,Isle Of Man,11
1435,Elat,5
1436,Haifa,2
1437,Ovda,1
1438,Tel-aviv,139
1439,Alghero,31
1440,Ancona,10
1441,Bari,50
1442,Bergamo,81
1443,Bologna,88
1444,Bolzano,2
1445,Brindisi,22
1446,Cagliari,43
1447,Catania,115
1448,Comiso,8
1449,Cuneo,5
1450,Florence,53
1451,Genoa,20
1452,Lamezia,25
1453,Lampedusa,3
1454,Marina Di Campo,5
1455,Milan,60
1456,Milano,192
1457,Naples,79
1458,Olbia,52
1459,Palermo,63
1460,Pantelleria,3
1461,Parma,4
1462,Perugia,5
1463,Pescara,9
1464,Pisa,76
1465,Reggio Calabria,6
1466,Rimini,3
1467,Rome,380
1468,Ronchi De Legionari,11
1469,Torino,44
1470,Trapani,28
1471,Treviso,38
1472,Venice,122
1473,Villafranca,39
1474,Kingston,30
1475,Montego Bay,45
1476,Akita,8
1477,Amami,2
1478,Aomori,5
1479,Asahikawa,7
1480,Fukue,4
1481,Fukuoka,85
1482,Fukushima,4
1483,Hachijojima,1
1484,Hakodate,10
1485,Hanamaki,4
1486,Hiroshima,17
1487,Ibaraki,5
1488,Iki,2
1489,Ishigaki,14
1490,Iwakuni,1
1491,Iwami,1
1492,Izumo,1
1493,Kagoshima,18
1494,Kanazawa,17
1495,Kitakyushu,3
1496,Kobe,12
1497,Kochi,4
1498,Kumamoto,9
1499,Kumejima,1
1500,Kushiro,5
1501,Matsumoto,2
1502,Matsuyama,12
1503,Memanbetsu,6
1504,Miho,8
1505,Misawa,2
1506,Miyako,5
1507,Miyazaki,11
1508,Monbetsu,1
1509,Nagasaki,17
1510,Nagoya,90
1511,Nakashibetsu,2
1512,Nanki-shirahama,1
1513,Niigata,16
1514,Obihiro,3
1515,Odate Noshiro,1
1516,Oita,9
1517,Okayama,13
1518,Okinawa,61
1519,Osaka,194
1520,Oshima,1
1521,Saga,3
1522,Sapporo,81
1523,Sendai,31
1524,Shonai,1
1525,Takamatsu,8
1526,Tokushima,2
1527,Tokyo,443
1528,Tottori,1
1529,Toyama,9
1530,Tsushima,3
1531,Wajima,1
1532,Wakkanai,2
1533,Yamagata,3
1534,Yamaguchi,3
1535,Jersey,38
1536,Amman,111
1537,Aqaba,2
1538,Aktau,21
1539,Aktyubinsk,7
1540,Alma-ata,67
1541,Atyrau,10
1542,Chimkent,10
1543,Dzhambul,4
1544,Karaganda,7
1545,Kokshetau,2
1546,Kostanay,3
1547,Kzyl-Orda,4
1548,Pavlodar,3
1549,Petropavlosk,2
1550,Semiplatinsk,3
1551,Tselinograd,52
1552,Uralsk,3
1553,Ust Kamenogorsk,8
1554,Zhezkazgan,2
1555,Amboseli National Park,2
1556,Eldoret,3
1557,Kisumu,3
1558,Kitale,1
1559,Lamu,4
1560,Lodwar,1
1561,Lokichoggio,1
1562,Malindi,5
1563,Masai Mara,3
1564,Mombasa,14
1565,Nairobi,149
1566,Nanyuki,4
1567,Samburu South,3
1568,Ukunda,3
1569,Wajir,5
1570,Kiritimati,4
1571,Tarawa,3
1572,Kuwait,120
1573,Bishkek,45
1574,Osh,31
1575,Huay Xai,1
1576,Luang Namtha,1
1577,Luang Prabang,13
1578,Muang Xay,1
1579,Pakse,5
1580,Phon Savan,1
1581,Savannakhet,3
1582,Vientiane,25
1583,Riga,101
1584,Beirut,67
1585,Maseru,1
1586,Monrovia,18
1587,Al Bayda',3
1588,Benghazi,25
1589,Ghadames,1
1590,Ghat,1
1591,Kufra,3
1592,Sirt,2
1593,Tobruk,4
1594,Tripoli,48
1595,Kaunas,19
1596,Palanga,3
1597,Vilnius,58
1598,Luxemburg,70
1599,Macau,79
1600,Skopje,24
1601,Antalaha,3
1602,Antananarivo,27
1603,Antsiranana,5
1604,Mahajanga,3
1605,Mananara,1
1606,Maroantsetra,4
1607,Morondava,2
1608,Nosy-be,4
1609,Sainte Marie,3
1610,Sambava,3
1611,Toamasina,7
1612,Tolagnaro,2
1613,Toliara,3
1614,Blantyre,5
1615,Lilongwe,12
1616,Alor Setar,5
1617,Bakalalan,1
1618,Bario,2
1619,Bintulu,7
1620,Ipoh,2
1621,Johor Bahru,18
1622,Kerteh,2
1623,Kota Bahru,14
1624,Kota Kinabalu,52
1625,Kuala Lumpur,286
1626,Kuala Terengganu,7
1627,Kuantan,5
1628,Kuching,26
1629,Kudat,2
1630,Labuan,4
1631,Lahad Datu,1
1632,Langkawi,17
1633,Lawas,3
1634,Limbang,1
1635,Long Akah,2
1636,Long Datih,2
1637,Long Seridan,2
1638,Marudi,6
1639,Miri,24
1640,Mukah,2
1641,Mulu,6
1642,Penang,42
1643,Redang,2
1644,Sandakan,6
1645,Sibu,9
1646,Tawau,7
1647,DHARAVANDHOO,2
1648,Gan Island,3
1649,Haa Dhaalu Atoll,2
1650,Kaadedhdhoo,2
1651,Kooddoo,2
1652,Laamu Atoll,2
1653,Male,44
1654,Bamako,28
1655,Malta,113
1656,Kwajalein,3
1657,Majuro,4
1658,Fort-de-france,23
1659,Nouadhibou,4
1660,Nouakschott,12
1661,Zouerat,3
1662,Plaisance,41
1663,Rodriguez Island,1
1664,Dzaoudzi,15
1665,Acapulco,8
1666,Aguascalientes,9
1667,Campeche,2
1668,Cancun,157
1669,Chetumal,1
1670,Chihuahua,16
1671,Ciudad Del Carmen,3
1672,Ciudad Juarez,12
1673,Ciudad Obregon,5
1674,Ciudad Victoria,2
1675,Colima,3
1676,Cozumel,16
1677,Culiacan,16
1678,Del Bajio,14
1679,Durango,5
1680,Guadalajara,93
1681,Hermosillo,25
1682,Huatulco,3
1683,Jalapa,2
1684,La Paz,10
1685,Lazard Cardenas,2
1686,Loreto,1
1687,Los Mochis,5
1688,Manzanillo,7
1689,Matamoros,2
1690,Mazatlan,15
1691,Merida,15
1692,Mexicali,4
1693,Mexico City,243
1694,Minatitlan,2
1695,Monterrey,72
1696,Morelia,10
1697,Nuevo Laredo,1
1698,Oaxaca,6
1699,Palenque,1
1700,Piedras Negras,2
1701,Poza Rico,6
1702,Puebla,7
1703,Puerto Escondido,3
1704,Puerto Vallarta,47
1705,Queretaro,7
1706,Reynosa,8
1707,Saltillo,2
1708,San Jose Del Cabo,51
1709,San Luis Potosi,8
1710,Tampico,7
1711,Tapachula,2
1712,Tepic,3
1713,Tijuana,42
1714,Toluca,13
1715,Torreon,10
1716,Tuxtla Gutierrez,8
1717,Uruapan,2
1718,Vera Cruz,16
1719,Villahermosa,13
1720,Zacatecas,7
1721,Zihuatanejo,9
1722,Chuuk,2
1723,Kosrae,2
1724,Pohnpei,3
1725,Yap,2
1726,Chisinau,34
1727,Altai,1
1728,Bayankhongor,2
1729,Choibalsan,4
1730,Khovd,1
1731,Muren,2
1732,Olgii,1
1733,Ulaangom,1
1734,Ulan Bator,21
1735,Uliastai,1
1736,Podgorica,16
1737,Tivat,11
1738,Agadir,28
1739,Al Hociema,1
1740,Casablanca,125
1741,El Aroui,18
1742,Essadouira,3
1743,Fes,18
1744,Marrakech,73
1745,Ouarzazate,2
1746,Oujda,10
1747,Rabat,11
1748,Tan Tan,1
1749,Tanger,19
1750,Tetouan,1
1751,Beira,7
1752,Chimoio,1
1753,Inhambane,3
1754,Lichinga,2
1755,Maputo,17
1756,Nampula,9
1757,Pemba,8
1758,Quelimane,3
1759,Tete,7
1760,Vilankulu,4
1761,Luderitz,1
1762,Mpacha,2
1763,Ondangwa,1
1764,Oranjemund,1
1765,Rundu,2
1766,Walvis Bay,3
1767,Windhoek,22
1768,Nauru,3
1769,Bhairawa,1
1770,Bharatpur,1
1771,Biratnagar,1
1772,Chandragarhi,1
1773,Dhangarhi,1
1774,Janakpur,1
1775,Kathmandu,44
1776,Nepalgunj,1
1777,Pokhara,1
1778,Tumling Tar,1
1779,Amsterdam,453
1780,Eindhoven,68
1781,Groningen,6
1782,Maastricht,10
1783,Rotterdam,33
1784,Kralendijk,10
1785,Oranjestad,1
1786,Philipsburg,58
1787,Saba,1
1788,Willemstad,31
1789,Kone,1
1790,Koumac,2
1791,Lifou,3
1792,Mare,1
1793,Noumea,21
1794,Ouvea,2
1795,Tiga,2
1796,Touho,1
1797,Waala,2
1798,Île des Pins,1
1799,Auckland,96
1800,Christchurch,34
1801,Dunedin,4
1802,Gisborne,2
1803,Hamilton,4
1804,Hokitika,1
1805,Invercargill,2
1806,Kaitaia,1
1807,Kerikeri,1
1808,NAPIER,3
1809,Nelson,4
1810,New Plymouth,3
1811,Palmerston North,5
1812,Paraparaumu,2
1813,Queenstown International,7
1814,Rotorua,3
1815,Taupo,2
1816,Tauranga,3
1817,Timaru,1
1818,Wanganui,1
1819,Wellington,32
1820,Westport,1
1821,Whakatane,1
1822,Whangarei,2
1823,Woodbourne,3
1824,Managua,15
1825,Niamey,17
1826,Abuja,30
1827,Asaba,2
1828,Benin,2
1829,Calabar,2
1830,Enugu,3
1831,Gombe,1
1832,Ibadan,1
1833,Ilorin,1
1834,Imo,2
1835,Jos,1
1836,Kaduna,1
1837,Kano,7
1838,Lagos,60
1839,Osubi,2
1840,Port Hartcourt,8
1841,Sokoto,1
1842,Uyo,1
1843,Yola,1
1844,Alofi,1
1845,Norfolk Island,3
1846,Pyongyang,5
1847,Rota,2
1848,Saipan,10
1849,Alesund,13
1850,Alta,10
1851,Andoya,3
1852,Bardufoss,1
1853,Batsfjord,5
1854,Bergen,69
1855,Berlevag,4
1856,Bodo,18
1857,Bronnoysund,5
1858,Fagernes,1
1859,Floro,5
1860,Hammerfest,7
1861,Harstad/Narvik,9
1862,Hasvik,2
1863,Haugesund,12
1864,Honningsvag,3
1865,Kirkenes,7
1866,Kristiansand,11
1867,Kristiansund,7
1868,Lakselv,1
1869,Leknes,3
1870,Mehamn,5
1871,Mo i Rana,4
1872,Molde,7
1873,Mosjoen,5
1874,Namsos,3
1875,Narvik,1
1876,Orland,1
1877,Orsta-Volda,4
1878,Oslo,180
1879,Roros,1
1880,Rygge,37
1881,Rørvik,3
1882,Røst,2
1883,Sandane,2
1884,Sandefjord,37
1885,Sandnessjoen,4
1886,Skien,1
1887,Sogndal,4
1888,Sorkjosen,2
1889,Stavanger,54
1890,Stokmarknes,4
1891,Stord,3
1892,Svalbard,3
1893,Svolvær,3
1894,Tromso,26
1895,Trondheim,44
1896,Vadsø,7
1897,Vardø,3
1898,Khasab,1
1899,Muscat,104
1900,Salalah,7
1901,Bahawalpur,5
1902,Chitral,2
1903,Dalbandin,1
1904,Dera Ghazi Khan,2
1905,Dera Ismael Khan,2
1906,Faisalabad,2
1907,Gilgit,1
1908,Gwadar,3
1909,Islamabad,58
1910,Karachi,62
1911,Lahore,56
1912,Moenjodaro,2
1913,Multan,12
1914,Panjgur,1
1915,Peshawar,30
1916,Quetta,14
1917,Rahim Yar Khan,3
1918,Sialkot,11
1919,Skardu,1
1920,Sukkur,6
1921,Turbat,6
1922,Zhob,2
1923,Babelthuap,10
1924,Bocas Del Toro,2
1925,Changuinola,1
1926,David,2
1927,Jaqué,1
1928,Panama,10
1929,Panama City,106
1930,Puerto Obaldia,1
1931,Buka Island,4
1932,Bulolo,1
1933,Daru,4
1934,Girua,5
1935,Goroka,5
1936,Gurney,6
1937,Hoskins,6
1938,Kavieng,4
1939,Kiunga,5
1940,Kundiawa,1
1941,Madang,8
1942,Mendi,1
1943,Misima Island,2
1944,Momote,5
1945,Moro,3
1946,Mount Hagen,10
1947,Nadzab,11
1948,Port Moresby,52
1949,Tabubil,4
1950,Tari,3
1951,Tokua,13
1952,Vanimo,3
1953,Wapenamanda,1
1954,Wewak,6
1955,Asuncion,18
1956,Ciudad del Este,4
1957,Andahuaylas,1
1958,Anta,1
1959,Arequipa,10
1960,Ayacucho,2
1961,Cajamarca,2
1962,Chiclayo,1
1963,Cuzco,11
1964,Huánuco,2
1965,Iquitos,7
1966,Jauja,1
1967,Juliaca,7
1968,Lima,115
1969,Piura,2
1970,Pucallpa,6
1971,Puerto Maldonado,3
1972,Tacna,2
1973,Tarapoto,6
1974,Tingo Maria,1
1975,Trujillo,1
1976,Tumbes,1
1977,Angeles City,13
1978,Bacolod,6
1979,Basco,2
1980,Busuanga,3
1981,Butuan,4
1982,Cagayan de Oro City,7
1983,Calbayog City,1
1984,Camiguin,1
1985,Catarman,2
1986,Caticlan,4
1987,Cauayan,1
1988,Cebu,49
1989,Cotabato,3
1990,Davao,14
1991,Dipolog,4
1992,Dumaguete,4
1993,Iloilo,10
1994,Jolo,1
1995,Kalibo,18
1996,Laoag,2
1997,Legazpi,4
1998,Manila,193
1999,Masbate,1
2000,Naga,2
2001,Ozamis,4
2002,Pagadian,2
2003,Puerto Princesa,9
2004,Romblon,5
2005,Roxas City,3
2006,San Jose,1
2007,Sangley Point,3
2008,Siargao,1
2009,Tacloban,5
2010,Tagbilaran,3
2011,Tuguegarao,3
2012,Virac,1
2013,Zamboanga,6
2014,Bydgoszcz,3
2015,Gdansk,51
2016,Katowice,28
2017,Krakow,57
2018,Lublin,6
2019,Poznan,21
2020,Rzeszow,11
2021,Szczecin,7
2022,Warsaw,146
2023,Wroclaw,33
2024,Corvo,2
2025,Faro,106
2026,Flores,4
2027,Funchal,52
2028,Graciosa Island,1
2029,Horta,6
2030,Lajes (terceira Island),10
2031,Lisbon,214
2032,Pico,4
2033,Ponta Delgada,23
2034,Porto,100
2035,Porto Santo,3
2036,Santa Maria (island),3
2037,Sao Jorge Island,2
2038,Aguadilla,4
2039,Culebra Island,1
2040,Mayaguez,1
2041,Ponce,2
2042,San Juan,102
2043,Vieques Island,6
2044,Doha,189
2045,St.-denis,19
2046,St.-pierre,3
2047,Arad,1
2048,Baia Mare,2
2049,Bucharest,112
2050,Cluj-napoca,21
2051,Constanta,1
2052,Craiova,2
2053,Iasi,12
2054,Oradea,2
2055,Satu Mare,2
2056,Sibiu,5
2057,Timisoara,13
2058,Tirgu Mures,5
2059,Abakan,4
2060,Anadyr,2
2061,Anapa,3
2062,Apatity,1
2063,Arkhangelsk,9
2064,Astrakhan,8
2065,Barnaul,3
2066,Batagay-Alyta,1
2067,Belgorod,11
2068,Beloyarsky,4
2069,Beslan,1
2070,Blagoveschensk,5
2071,Bodaibo,2
2072,Bor,1
2073,Bratsk,4
2074,Bugulma,4
2075,Cheboksary,2
2076,Chelyabinsk,20
2077,Cherepovets,7
2078,Cherskiy,2
2079,Chita,11
2080,Chokurdah,2
2081,Elista,1
2082,Gelendzhik,1
2083,Gorno-Altaysk,1
2084,Honuu,2
2085,Igarka,1
2086,Irkutsk,41
2087,Izhevsk,4
2088,Kaliningrad,15
2089,Kazan,28
2090,Kemorovo,3
2091,Khabarovsk,38
2092,Khanty-Mansiysk,8
2093,Kirensk,1
2094,Kirov,3
2095,Kogalym,1
2096,Krasnodar,46
2097,Krasnoyarsk,45
2098,Kurgan,2
2099,Kursk,1
2100,Kyzyl,1
2101,Lensk,6
2102,Magadan,6
2103,Magnetiogorsk,2
2104,Makhachkala,4
2105,Mineralnye Vody,22
2106,Mirnyj,9
2107,Moscow,609
2108,Murmansk,7
2109,Nadym,8
2110,Naryan-Mar,4
2111,Neryungri,5
2112,Nizhnekamsk,7
2113,Nizhnevartovsk,14
2114,Nizhniy Novgorod,18
2115,Nogliki,1
2116,Norilsk,15
2117,Novokuznetsk,2
2118,Novosibirsk,87
2119,Novy Urengoy,16
2120,Noyabrsk,5
2121,Nyagan,4
2122,Omsk,17
2123,Orenburg,8
2124,Orsk,1
2125,Penza,1
2126,Perm,6
2127,Petropavlovsk,6
2128,Petrozavodsk,1
2129,Pevek,1
2130,Rostov,28
2131,Salekhard,8
2132,Samara,27
2133,Saransk,2
2134,Saratov,5
2135,Shakhtyorsk,1
2136,Sochi,26
2137,Solovetsky Islands,1
2138,Sovetskiy,5
2139,St. Petersburg,184
2140,Stavropol,4
2141,Surgut,14
2142,Syktyvkar,9
2143,Taganrog,1
2144,Tambow,1
2145,Tarko-Sale,1
2146,Tiksi,2
2147,Tomsk,5
2148,Turukhansk,1
2149,Tyumen,22
2150,Ufa,23
2151,Ukhta,4
2152,Ulan-ude,11
2153,Ulyanovsk,2
2154,Uraj,3
2155,Usinsk,2
2156,Ust-Kut,2
2157,Ust-Tsylma,1
2158,Veliky Ustyug,1
2159,Vladivostok,26
2160,Volgograd,10
2161,Vorkuta,2
2162,Voronezh,8
2163,Yakutia,5
2164,Yakutsk,38
2165,Yaroslavl,1
2166,Yekaterinburg,98
2167,Yuzhno-Kurilsk,1
2168,Yuzhno-sakhalinsk,16
2169,Kamembe,1
2170,Kigali,40
2171,Basse Terre,11
2172,Charlestown,8
2173,Castries,11
2174,Hewandorra,19
2175,St.-pierre,3
2176,Kingstown,4
2177,Faleolo,5
2178,Sao Tome,3
2179,Abha,15
2180,Al-Jawf,2
2181,Al-Ula,2
2182,Al-ahsa,3
2183,Arar,2
2184,Bisha,3
2185,Dammam,82
2186,El-baha,3
2187,Gassim,12
2188,Gizan,6
2189,Guriat,2
2190,Hafr Al-batin,2
2191,Hail,5
2192,Jeddah,194
2193,Madinah,39
2194,Nejran,3
2195,Rafha,1
2196,Riyadh,137
2197,Sharurah,2
2198,Tabuk,9
2199,Taif,13
2200,Turaif,1
2201,Wadi-al-dawasir,2
2202,Wejh,1
2203,Yenbo,9
2204,Cap Skiring,1
2205,Dakar,67
2206,Ziguinchor,2
2207,Belgrade,86
2208,Pristina,21
2209,Mahe,13
2210,Praslin,1
2211,Freetown,22
2212,Singapore,408
2213,Bratislava,20
2214,Kosice,6
2215,Ljubljana,33
2216,Atoifi,1
2217,Choiseul Bay,1
2218,Fera Island,2
2219,Gizo,4
2220,Honiara,25
2221,Kagau Island,2
2222,Kirakira,3
2223,Marau,1
2224,Munda,4
2225,Ramata,2
2226,Rennell Island,2
2227,Santa Ana,2
2228,Santa Cruz/Graciosa Bay/Luova,1
2229,Sege,4
2230,Suavanao,1
2231,Ulawa,2
2232,Berbera,7
2233,Bosaso,4
2234,Galcaio,4
2235,Hargeisa,7
2236,Mogadishu,10
2237,Bloemfontein,4
2238,Cape Town,44
2239,Durban,21
2240,East London,5
2241,George,5
2242,Hoedspruit,2
2243,Johannesburg,163
2244,Kimberley,2
2245,Margate,1
2246,Mpumalanga,4
2247,Phalaborwa,1
2248,Pietermaritzburg,1
2249,Plettenberg Bay,2
2250,Port Elizabeth,9
2251,Potgietersrus,1
2252,Richard's Bay,1
2253,Umtata,1
2254,Upington,2
2255,Busan,80
2256,Cheju,59
2257,Chongju,9
2258,Kunsan,2
2259,Kwangju,4
2260,Muan,6
2261,Pohang,3
2262,Sacheon,3
2263,Seoul,409
2264,Sokcho / Gangneung,1
2265,Taegu,6
2266,Ulsan,3
2267,Wonju,1
2268,Yeosu,3
2269,Juba,12
2270,Alicante,157
2271,Almeria,18
2272,Arrecife,116
2273,Aviles,17
2274,Badajoz,2
2275,Barcelona,391
2276,Bilbao,65
2277,Burgos,1
2278,Fuerteventura,97
2279,Gerona,49
2280,Gran Canaria,154
2281,Granada,9
2282,Hierro,3
2283,Ibiza,99
2284,Jerez,22
2285,La Coruna,12
2286,La Gomera,1
2287,Leon,1
2288,Lleida,1
2289,Logroño-Agoncillo,1
2290,Madrid,330
2291,Malaga,206
2292,Melilla,5
2293,Menorca,34
2294,Murcia,20
2295,Palma de Mallorca,271
2296,Pamplona,2
2297,Reus,19
2298,Salamanca,1
2299,San Sebastian,3
2300,Santa Cruz De La Palma,8
2301,Santander,19
2302,Santiago,36
2303,Sevilla,65
2304,Tenerife,191
2305,Valencia,82
2306,Valladolid,4
2307,Vigo,11
2308,Zaragoza,8
2309,Batticaloa,1
2310,Colombo,101
2311,Koggala,2
2312,Mattala,7
2313,Sigiriya,3
2314,Trinciomalee,1
2315,El Fasher,2
2316,Geneina,2
2317,Khartoum,41
2318,Nyala,2
2319,Port Sudan,5
2320,Zandery,10
2321,Manzini,1
2322,Arvidsjaur,2
2323,Borlange,2
2324,Gallivare,6
2325,Gothenborg,73
2326,Hagfors,2
2327,Halmstad,6
2328,Hemavan,2
2329,Joenkoeping,2
2330,Kalkmar,3
2331,Karlstad,2
2332,Kiruna,3
2333,Kramfors,4
2334,Kristianstad,1
2335,Linkoeping,2
2336,Lulea,6
2337,Lycksele,4
2338,Malmoe,16
2339,Mora,2
2340,Norrkoeping,2
2341,Orebro,2
2342,Ornskoldsvik,1
2343,Pajala,2
2344,Ronneby,3
2345,Skelleftea,3
2346,Stockholm,276
2347,Sundsvall,5
2348,Sveg,2
2349,Torsby,2
2350,Trollhattan,1
2351,Umea,8
2352,Vasteras,3
2353,Vaxjo,7
2354,Vilhelmina,4
2355,Visby,8
2356,Ängelholm,3
2357,Östersund,3
2358,Altenrhein,2
2359,Bern,12
2360,Geneva,166
2361,Lugano,2
2362,Zurich,247
2363,Fengnin,1
2364,Hualien,4
2365,Kaohsiung,65
2366,Kinmen,5
2367,Makung,5
2368,Taichung,29
2369,Tainan,1
2370,Taipei,304
2371,Dushanbe,52
2372,Khudzhand,33
2373,Kulyab,7
2374,Kurgan Tyube,4
2375,Arusha,1
2376,Bukoba,1
2377,Dar Es Salaam,35
2378,Kilimanjaro,20
2379,Mbeya,1
2380,Mtwara,1
2381,Mwanza,6
2382,Zanzibar,11
2383,Bangkok,393
2384,Buri Ram,1
2385,Chiang Mai,48
2386,Chiang Rai,11
2387,Chumphon,1
2388,Hat Yai,6
2389,Khon Kaen,2
2390,Ko Samui,18
2391,Krabi,16
2392,Lampang,1
2393,Loei,1
2394,Mae Hong Son,1
2395,Nakhon Phanom,2
2396,Nakhon Si Thammarat,2
2397,Nan,2
2398,Narathiwat,1
2399,Pai,1
2400,Pattaya,2
2401,Phitsanulok,3
2402,Phrae,1
2403,Phuket,71
2404,Ranong,1
2405,Roi Et,1
2406,Sakon Nakhon,1
2407,Sukhothai,1
2408,Surat Thani,4
2409,Tak,1
2410,Trang,2
2411,Trat,1
2412,Ubon Ratchathani,3
2413,Udon Thani,6
2414,Lome,20
2415,Tongatapu,5
2416,Port-of-spain,35
2417,Scarborough,4
2418,Djerba,37
2419,Enfidha,45
2420,Gabes,2
2421,Gafsa,2
2422,Monastir,15
2423,Sfax,10
2424,Tozeur,2
2425,Tunis,87
2426,Adana,17
2427,Adiyaman,2
2428,Agri,2
2429,Alanya,6
2430,Ankara,52
2431,Antalya,127
2432,Balikesir Korfez,1
2433,Batman,3
2434,Bingol,2
2435,Bodrum,31
2436,Canakkale,1
2437,Dalaman,57
2438,Denizli,2
2439,Diyabakir,7
2440,Elazig,6
2441,Erzincan,3
2442,Erzurum,5
2443,Eskissehir,1
2444,Gaziantep,9
2445,Hatay,9
2446,Igdir,2
2447,Isparta,1
2448,Istanbul,503
2449,Izmir,66
2450,Kahramanmaras,3
2451,Kars,3
2452,Kastamonu,1
2453,Kayseri,7
2454,Konya,3
2455,Kutahya,1
2456,Malatya,4
2457,Mardin,5
2458,Merzifon,2
2459,Mus,3
2460,Nevsehir,2
2461,Sanliurfa,5
2462,Sinop,1
2463,Sivas,4
2464,Topel,1
2465,Trabzon,10
2466,Van,5
2467,Zonguldak,2
2468,Çorlu,1
2469,Ashkhabad,15
2470,Cockburn Town,4
2471,Providenciales,31
2472,Salt Cay,1
2473,South Caicos,2
2474,Funafuti,1
2475,Arua,1
2476,Entebbe,34
2477,Kasese,1
2478,Dnepropetrovsk,14
2479,Donetsk,15
2480,Ivano-Frankivsk,2
2481,Kharkov,10
2482,Kiev,124
2483,Lvov,17
2484,Odessa,18
2485,Sevastopol,2
2486,Simferopol,7
2487,Uzhgorod,1
2488,Vinnitsa,1
2489,Zaporozhye,2
2490,Abu Dhabi,245
2491,Al Ain,2
2492,Dubai,404
2493,Fujeirah,1
2494,Sharjah,97
2495,Sir Bani Yas Island,2
2496,Aberdeen,41
2497,Angelsey,1
2498,Barra,1
2499,Belfast,57
2500,Benbecula,2
2501,Birmingham,133
2502,Blackpool,9
2503,Bournemouth,19
2504,Bristol,100
2505,Campbeltown,1
2506,Cardiff,32
2507,"Doncaster, Sheffield",9
2508,Dundee,1
2509,East Midlands,95
2510,Eday,1
2511,Edinburgh,119
2512,Exeter,25
2513,Glasgow,100
2514,Golouchestershire,1
2515,Hawarden,2
2516,Humberside,5
2517,Inverness,11
2518,Islay,1
2519,Kirkwall,11
2520,Land's End,1
2521,Leeds,80
2522,Liverpool,58
2523,London,1226
2524,Londonderry,5
2525,Manchester,316
2526,Newcastle,84
2527,Newquai,6
2528,North Ronaldsay,4
2529,Norwich,10
2530,Papa Westray,3
2531,Prestwick,21
2532,ST MARY\'S,3
2533,Sanday,2
2534,Southampton,33
2535,Southend,14
2536,Stornoway,5
2537,Stronsay,2
2538,Sumburgh,5
2539,Teesside,3
2540,Tiree,1
2541,Westray,2
2542,Wick,2
2543,Aberdeen,1
2544,Abilene,2
2545,Adak Island,1
2546,Akhiok,1
2547,Akiak,3
2548,Akron,22
2549,Akutan,1
2550,Alakanuk,2
2551,Alamosa,6
2552,Albany,35
2553,Albuquerque,42
2554,Alexandria,6
