,City,Direct_flights_count
310,Eirunepe,1
311,Erechim,2
312,Fernando Do Noronha,3
313,Florianopolis,21
314,Fortaleza,36
315,Foz Do Iguacu,12
316,Goiania,21
317,Governador Valadares,1
318,Guanambi,1
319,Guarapuava,1
320,Gurupi,1
321,Ilheus,9
322,Imperatriz,7
323,Ipatinga,3
324,Itaituba,2
325,Ji-Paraná,2
326,Joacaba,3
327,Joao Pessoa,11
328,Joinville,5
329,Juazeiro Do Norte,5
330,Juiz de Fora,2
331,Lençóis,1
332,Londrina,11
333,Macapa,3
334,Macaé,4
335,Maceio,13
336,Manaus,32
337,Maraba,12
338,Maringa,10
339,Marília,2
340,Minacu,1
341,Montes Claros,3
342,Natal,16
343,Navegantes,7
344,Oriximina,1
345,Ourilandia do Norte,1
346,Palmas,7
347,Parauapebas,4
348,Parintins,1
349,Parnaiba,2
350,Passo Fundo,5
351,Patos de Minas,1
352,Paulo Alfonso,1
353,Pelotas,4
354,Petrolina,5
355,Porto Alegre,42
356,Porto Seguro,11
357,Porto Velho,9
358,President Prudente,2
359,Recife,36
360,Redencao,1
361,Ribeirao Preto,19
362,Rio Branco,5
363,Rio De Janeiro,128
364,Rio Verde,1
365,Rondonopolis,1
366,Salvador,58
367,Santa Isabel do Rio Negro,1
368,Santa Maria,4
369,Santa Rosa,1
370,Santa Terezinha,1
371,Santarem,15
372,Santo Angelo,2
373,Sao Felix do Araguaia,1
374,Sao Felix do Xingu,1
375,Sao Gabriel,1
376,Sao Jose Do Rio Preto,8
377,Sao Jose Dos Campos,3
378,Sao Luis,16
379,Sao Paulo,240
380,Sao Paulo de Olivenca,1
381,Sinop,3
382,Tabatinga,1
383,Tefe,5
384,Teresina,11
385,Tucurui,1
386,Uberaba,4
387,Uberlandia,15
388,Uruguaiana,1
389,Vilhena,1
390,Vitoria,16
391,Vitória Da Conquista,6
392,Spanish Town,4
393,Tortola,12
394,Bandar Seri Begawan,23
395,Bourgas,12
396,Plovdiv,2
397,Sofia,66
398,Varna,9
399,Bobo-dioulasso,2
400,Ouagadougou,33
401,Bagan,7
402,Dawei,2
403,Heho,7
404,Kawthoung,1
405,Kengtung,1
406,Kyaukpyu,1
407,Mandalay,17
408,Myeik,2
409,Myitkyina,4
410,Naypyidaw,2
411,Putao,1
412,Sittwe,3
413,Tachilek,5
414,Thandwe,2
415,Yangon,49
416,Bujumbura,13
417,Phnom-penh,29
418,Siem-reap,42
419,Sihanoukville,1
420,Douala,51
421,Garoua,2
422,Maroua,1
423,N'gaoundere,1
424,Yaounde,17
425,Abbotsford,2
426,Akulivik,2
427,Anahim Lake,1
428,Angling Lake,2
429,Arctic Bay,2
430,Attawapiskat,2
431,Aupaluk,3
432,Bagotville,4
433,Baie Comeau,6
434,Baker Lake,6
435,Bathurst,1
436,Bearskin Lake,4
437,Bella Coola,2
438,Big Trout Lake,4
439,Bonaventure,3
440,Brandon,1
441,Broughton Island,2
442,Calgary,115
443,Cambridge Bay,6
444,Campbell River,6
445,Cape Dorset,3
446,Castlegar,2
447,Cat Lake,2
448,Charlo,2
449,Charlottetown,4
450,Chesterfield Inlet,6
451,Chevery,4
452,Chibougamau,3
453,Chisasibi,4
454,Churchill,8
455,Churchill Falls,2
456,Clyde River,4
