,Source_airport,Destination_airport
1649,LMT,2
1650,LNB,2
1651,LNE,3
1652,LNJ,2
1653,LNK,3
1654,LNS,1
1655,LNV,3
1656,LNY,4
1657,LNZ,12
1658,LOD,2
1659,LOE,1
1660,LOH,2
1661,LOK,1
1662,LOP,16
1663,LOS,60
1664,LPA,154
1665,LPB,26
1666,LPD,1
1667,LPI,2
1668,LPL,58
1669,LPM,2
1670,LPP,3
1671,LPQ,13
1672,LPS,1
1673,LPT,1
1674,LPY,1
1675,LQM,1
1676,LRD,4
1677,LRE,2
1678,LRH,10
1679,LRM,10
1680,LRR,6
1681,LRS,6
1682,LRT,2
1683,LSA,1
1684,LSC,7
1685,LSE,3
1686,LSI,5
1687,LSP,4
1688,LST,8
1689,LSY,1
1690,LTD,1
1691,LTI,1
1692,LTN,108
1693,LTO,1
1694,LTX,2
1695,LUD,1
1696,LUG,2
1697,LUH,1
1698,LUK,3
1699,LUM,6
1700,LUN,34
1701,LUO,1
1702,LUQ,1
1703,LUR,1
1704,LUV,3
1705,LUW,2
1706,LUX,70
1707,LUZ,6
1708,LVI,7
1709,LWB,2
1710,LWN,1
1711,LWO,17
1712,LWS,4
1713,LWY,3
1714,LXA,30
1715,LXG,1
1716,LXR,10
1717,LXS,5
1718,LYA,9
1719,LYB,2
1720,LYC,4
1721,LYG,16
1722,LYH,2
1723,LYI,18
1724,LYP,2
1725,LYR,3
1726,LYS,135
1727,LZC,2
1728,LZH,14
1729,LZO,13
1730,LZY,5
1731,MAA,107
1732,MAB,12
1733,MAD,330
1734,MAF,8
1735,MAG,8
1736,MAH,34
1737,MAJ,4
1738,MAM,2
1739,MAN,316
1740,MAO,32
1741,MAQ,1
1742,MAR,14
1743,MAS,5
1744,MAU,3
1745,MAZ,1
1746,MBA,14
1747,MBE,1
1748,MBI,1
1749,MBJ,45
1750,MBL,1
1751,MBS,5
1752,MBT,1
1753,MCE,1
1754,MCG,6
1755,MCI,82
1756,MCK,1
1757,MCM,1
1758,MCN,2
1759,MCO,233
1760,MCP,3
1761,MCT,104
1762,MCV,1
1763,MCX,4
1764,MCY,5
1765,MCZ,13
1766,MDC,21
1767,MDE,26
1768,MDG,10
1769,MDK,2
1770,MDL,17
1771,MDQ,3
1772,MDT,20
1773,MDU,1
1774,MDW,139
1775,MDZ,10
1776,MEA,4
1777,MEB,1
1778,MEC,1
1779,MED,39
1780,MEE,1
1781,MEG,2
1782,MEH,5
1783,MEI,1
1784,MEL,137
1785,MEM,58
1786,MEU,3
1787,MEX,243
1788,MFE,6
1789,MFM,79
1790,MFR,9
1791,MFU,1
1792,MGA,15
1793,MGB,2
1794,MGF,10
1795,MGH,1
1796,MGM,7
1797,MGQ,10
1798,MGS,1
1799,MGT,1
1800,MGW,2
1801,MGZ,2
1802,MHC,1
1803,MHD,65
1804,MHG,1
1805,MHH,14
1806,MHK,4
1807,MHQ,4
1808,MHT,20
1809,MIA,368
1810,MID,15
1811,MIG,22
1812,MII,2
1813,MIM,3
1814,MIR,15
1815,MIS,2
1816,MJD,2
1817,MJF,5
1818,MJM,2
1819,MJN,3
1820,MJT,10
1821,MJU,1
1822,MJV,20
1823,MJZ,9
1824,MKE,65
1825,MKG,1
1826,MKK,3
1827,MKL,2
1828,MKM,2
1829,MKP,1
1830,MKQ,3
1831,MKW,7
1832,MKY,7
1833,MLA,113
1834,MLB,5
1835,MLE,44
1836,MLG,3
1837,MLH,11
1838,MLI,15
1839,MLL,2
1840,MLM,10
1841,MLN,5
1842,MLO,2
1843,MLU,6
1844,MLW,2
1845,MLX,4
1846,MLY,1
1847,MMB,6
1848,MME,3
1849,MMH,2
1850,MMJ,2
1851,MMK,7
1852,MMO,1
1853,MMU,2
1854,MMX,16
1855,MMY,5
1856,MNA,1
1857,MNG,3
1858,MNL,193
1859,MNS,1
1860,MNT,1
1861,MOB,9
1862,MOC,3
1863,MOD,1
1864,MOF,3
1865,MOI,1
1866,MOL,7
1867,MOQ,2
1868,MOT,5
1869,MOU,2
1870,MOV,3
1871,MOZ,4
1872,MPA,2
1873,MPH,4
1874,MPL,24
1875,MPM,17
1876,MPN,1
1877,MPP,1
1878,MQF,2
1879,MQH,1
1880,MQJ,2
1881,MQL,6
1882,MQM,5
1883,MQN,4
1884,MQP,4
1885,MQT,3
1886,MQX,3
1887,MRA,12
1888,MRD,2
1889,MRE,3
1890,MRS,136
1891,MRU,41
1892,MRV,22
1893,MRX,2
1894,MRY,10
1895,MRZ,1
1896,MSA,4
1897,MSJ,2
1898,MSL,1
1899,MSN,17
1900,MSO,7
1901,MSP,218
1902,MSQ,54
1903,MSR,3
1904,MSS,1
1905,MST,10
1906,MSU,1
1907,MSW,1
1908,MSY,123
1909,MSZ,1
1910,MTJ,1
1911,MTM,3
1912,MTR,3
1913,MTS,1
1914,MTT,2
1915,MTV,3
1916,MTY,72
1917,MUA,4
1918,MUB,7
1919,MUC,368
1920,MUE,1
1921,MUK,1
1922,MUN,4
1923,MUR,6
1924,MUW,2
1925,MUX,12
1926,MVD,23
1927,MVP,3
1928,MVR,1
1929,MVT,2
1930,MVY,4
1931,MWA,1
1932,MWF,1
1933,MWX,6
1934,MWZ,6
1935,MXH,3
1936,MXL,4
1937,MXP,192
1938,MXV,2
1939,MXX,2
1940,MXZ,5
1941,MYA,2
1942,MYD,5
1943,MYG,2
1944,MYJ,12
1945,MYQ,1
1946,MYR,34
1947,MYT,4
1948,MYU,1
1949,MYW,1
1950,MYY,24
1951,MZG,5
1952,MZH,2
1953,MZL,1
1954,MZR,4
1955,MZT,15
1956,MZV,6
1957,MZW,1
1958,NAG,15
1959,NAH,1
1960,NAJ,1
1961,NAN,43
1962,NAO,6
1963,NAP,79
1964,NAQ,3
1965,NAS,67
1966,NAT,16
1967,NAV,2
1968,NAW,1
1969,NAY,80
1970,NBC,7
1971,NBE,45
1972,NBO,130
1973,NBS,5
1974,NBX,3
1975,NCE,135
1976,NCL,84
1977,NCU,4
1978,NDB,4
1979,NDG,8
1980,NDJ,9
1981,NDR,18
1982,NDU,2
1983,NDY,2
1984,NER,5
1985,NEV,8
1986,NGB,84
1987,NGE,1
1988,NGK,1
1989,NGO,84
1990,NGQ,2
1991,NGS,17
1992,NHV,4
1993,NIB,1
1994,NIM,17
1995,NIQ,1
1996,NJC,14
1997,NJF,11
1998,NKC,12
1999,NKG,165
2000,NKI,1
2001,NKM,6
2002,NLA,10
2003,NLD,1
2004,NLG,1
2005,NLK,3
2006,NLT,2
2007,NMA,12
2008,NME,3
2009,NNB,2
2010,NNG,114
2011,NNM,4
2012,NNT,2
2013,NNY,8
2014,NOB,1
2015,NOC,15
2016,NOJ,5
2017,NOP,1
2018,NOS,4
2019,NOU,13
2020,NOV,3
2021,NOZ,2
2022,NPE,3
2023,NPL,3
2024,NQN,6
2025,NQU,1
2026,NQY,6
2027,NRA,2
2028,NRK,2
2029,NRL,4
2030,NRN,38
2031,NRT,286
2032,NSH,2
2033,NSI,17
2034,NSK,15
2035,NSN,4
2036,NSQ,2
2037,NST,2
2038,NTE,92
2039,NTG,18
2040,NTL,8
2041,NTN,2
2042,NTQ,1
2043,NTX,1
2044,NUE,48
2045,NUI,2
2046,NUL,3
2047,NUP,2
2048,NUS,5
2049,NUX,16
2050,NVA,2
2051,NVI,6
2052,NVK,1
2053,NVT,7
2054,NWI,10
2055,NYA,4
2056,NYI,1
2057,NYK,4
2058,NYM,8
2059,NYO,31
2060,NYT,2
2061,NYU,7
2062,NZH,11
2063,OAG,1
2064,OAJ,7
2065,OAK,54
2066,OAL,1
2067,OAX,6
2068,OBO,3
2069,OBU,4
2070,OBY,1
2071,OCC,3
2072,ODN,2
2073,ODO,2
2074,ODS,18
2075,ODY,1
2076,OER,1
2077,OGD,1
2078,OGG,42
2079,OGL,1
2080,OGM,1
2081,OGS,1
2082,OGX,5
2083,OGZ,1
2084,OHE,3
2085,OHH,2
2086,OIA,1
2087,OIM,1
2088,OIT,9
2089,OKA,61
2090,OKC,40
2091,OKJ,13
2092,OKL,1
2093,OLA,1
2094,OLB,52
2095,OLC,1
2096,OLF,1
2097,OLH,1
2098,OLL,1
2099,OLP,1
2100,OMA,34
2101,OMD,1
2102,OME,25
2103,OMH,3
2104,OMO,1
2105,OMR,2
2106,OMS,17
2107,OND,1
2108,ONG,3
2109,ONJ,1
2110,ONQ,2
2111,ONT,24
2112,OOK,3
2113,OOL,28
2114,OPO,100
2115,OPS,3
2116,ORB,2
2117,ORD,558
2118,ORF,36
2119,ORH,2
2120,ORI,1
2121,ORK,34
2122,ORN,34
2123,ORU,4
2124,ORV,4
2125,ORY,201
2126,ORZ,2
2127,OSD,3
2128,OSI,4
2129,OSL,180
2130,OSM,3
2131,OSR,4
2132,OSS,31
2133,OST,1
2134,OSW,1
2135,OSY,3
2136,OTD,1
2137,OTH,2
2138,OTP,112
2139,OTZ,22
2140,OUA,33
2141,OUD,10
2142,OUL,4
2143,OUZ,3
2144,OVB,87
2145,OVD,17
2146,OVS,5
2147,OWB,2
2148,OXB,7
2149,OZC,4
2150,OZH,2
2151,OZZ,2
2152,PAC,10
2153,PAD,11
2154,PAF,1
2155,PAG,2
2156,PAH,1
2157,PAP,24
2158,PAS,2
2159,PAT,12
2160,PAV,1
2161,PAZ,6
2162,PBC,7
2163,PBD,2
2164,PBG,7
2165,PBH,5
2166,PBI,44
2167,PBJ,2
2168,PBL,2
2169,PBM,10
2170,PBO,3
2171,PBU,1
2172,PBZ,2
2173,PCL,6
2174,PCR,3
2175,PDA,3
2176,PDG,7
2177,PDL,23
2178,PDP,3
2179,PDS,2
2180,PDT,1
2181,PDV,2
2182,PDX,113
2183,PEC,1
2184,PED,2
2185,PEE,6
2186,PEG,5
2187,PEI,6
2188,PEK,535
2189,PEM,3
2190,PEN,42
2191,PER,92
2192,PES,1
2193,PET,4
2194,PEU,2
2195,PEW,30
2196,PEZ,1
2197,PFB,5
2198,PFO,42
2199,PFQ,1
2200,PGA,6
2201,PGD,18
2202,PGF,5
2203,PGK,7
2204,PGU,5
2205,PGV,2
2206,PGX,2
2207,PHB,2
2208,PHC,8
2209,PHE,8
2210,PHF,9
2211,PHL,289
2212,PHO,4
2213,PHS,3
2214,PHW,1
2215,PHX,251
2216,PIA,15
2217,PIB,1
2218,PIE,31
2219,PIH,1
2220,PIK,21
2221,PIN,1
2222,PIP,1
2223,PIR,8
2224,PIS,7
2225,PIT,74
2226,PIU,2
2227,PIX,4
2228,PIZ,2
2229,PJA,2
2230,PJG,1
2231,PJM,4
2232,PKA,1
2233,PKB,1
2234,PKC,6
2235,PKE,2
2236,PKN,7
2237,PKR,1
2238,PKU,18
2239,PKY,3
2240,PKZ,5
2241,PLJ,7
2242,PLM,14
2243,PLN,1
2244,PLO,2
2245,PLQ,3
2246,PLS,31
2247,PLU,13
2248,PLW,8
2249,PLX,3
2250,PLZ,9
2251,PMC,10
2252,PMF,4
2253,PMI,271
2254,PMO,63
2255,PMR,5
2256,PMV,20
2257,PMW,7
2258,PMY,1
2259,PMZ,3
2260,PNA,2
2261,PND,2
2262,PNH,29
2263,PNI,3
2264,PNK,6
2265,PNL,3
2266,PNP,5
2267,PNQ,33
2268,PNR,18
2269,PNS,21
2270,PNZ,5
2271,POA,42
2272,POG,1
2273,POI,2
2274,POJ,1
2275,POL,8
2276,POM,52
2277,POP,16
2278,POR,3
2279,POS,35
2280,POZ,21
2281,PPB,2
2282,PPG,1
2283,PPK,2
2284,PPN,1
2285,PPP,3
2286,PPQ,2
2287,PPS,9
2288,PPT,38
2289,PPV,1
2290,PPW,3
2291,PQC,5
2292,PQI,2
2293,PQM,1
2294,PQQ,6
2295,PQS,3
2296,PRA,2
2297,PRC,1
2298,PRG,180
2299,PRH,1
2300,PRI,1
2301,PRN,21
2302,PSA,76
2303,PSC,8
2304,PSE,2
2305,PSG,2
2306,PSJ,1
2307,PSM,1
2308,PSO,3
2309,PSP,26
2310,PSR,9
2311,PSS,1
2312,PTG,1
2313,PTH,1
2314,PTJ,1
2315,PTP,29
2316,PTU,1
2317,PTY,106
2318,PUB,1
2319,PUE,1
2320,PUF,5
2321,PUG,1
2322,PUJ,73
2323,PUM,1
2324,PUQ,7
2325,PUS,80
2326,PUU,4
2327,PUW,2
2328,PUY,15
2329,PVA,1
2330,PVC,1
2331,PVD,27
2332,PVE,1
2333,PVG,411
2334,PVH,9
2335,PVK,11
2336,PVR,47
2337,PVU,3
2338,PWE,1
2339,PWM,2
2340,PWQ,3
2341,PXM,3
2342,PXO,3
2343,PXU,3
2344,PYC,1
2345,PYH,1
2346,PYJ,5
2347,PYY,1
2348,PZB,1
2349,PZH,2
2350,PZI,4
2351,PZO,11
2352,PZU,5
2353,QBC,2
2354,QFG,1
2355,QFN,1
2356,QJH,1
2357,QOQ,1
2358,QOW,2
2359,QRO,7
2360,QRW,2
2361,QSF,8
2362,QUB,1
2363,QUO,1
2364,QUV,1
2365,QUW,2
2366,RAB,13
2367,RAE,2
2368,RAH,1
2369,RAI,17
2370,RAJ,3
2371,RAK,73
2372,RAO,19
2373,RAP,8
2374,RAR,14
2375,RAS,10
2376,RBA,11
2377,RBQ,2
2378,RBR,5
2379,RBV,2
2380,RBY,4
2381,RCB,1
2382,RCE,2
2383,RCH,1
2384,RCM,1
2385,RCY,1
2386,RDC,1
2387,RDD,1
2388,RDM,8
2389,RDN,2
2390,RDU,83
2391,RDV,1
2392,RDZ,4
2393,REC,36
2394,REG,6
2395,REL,6
2396,REN,8
2397,REP,42
2398,RES,1
2399,RET,2
2400,REU,19
2401,REX,8
2402,RFD,5
2403,RFP,4
2404,RGA,2
2405,RGI,5
2406,RGK,1
2407,RGL,6
2408,RGN,49
2409,RGS,1
2410,RHD,1
2411,RHI,2
2412,RHO,82
2413,RIA,4
2414,RIB,1
2415,RIC,38
2416,RIG,3
2417,RIW,1
2418,RIX,101
2419,RIY,12
2420,RJA,3
2421,RJH,1
2422,RJK,7
2423,RJL,1
2424,RKA,1
2425,RKD,1
2426,RKS,3
2427,RKV,5
2428,RLG,5
2429,RLK,5
2430,RMA,3
2431,RMF,6
2432,RMI,3
2433,RMP,1
2434,RMQ,29
2435,RMT,2
2436,RNA,2
2437,RNB,3
2438,RNL,2
2439,RNN,1
2440,RNO,27
2441,RNS,13
2442,ROA,15
2443,ROB,16
2444,ROC,30
2445,ROI,1
2446,ROK,5
2447,ROO,1
2448,ROP,2
2449,ROR,10
2450,ROS,7
2451,ROT,3
2452,ROV,28
2453,ROW,2
2454,RPR,12
2455,RRG,1
2456,RRS,1
2457,RSA,1
2458,RSD,2
2459,RSH,4
2460,RST,4
2461,RSU,3
2462,RSW,63
2463,RTA,1
2464,RTB,15
2465,RTM,33
2466,RTW,5
2467,RUA,1
2468,RUH,137
2469,RUN,19
2470,RUR,2
2471,RUS,1
2472,RUT,1
2473,RVD,1
2474,RVE,2
2475,RVK,3
2476,RVN,2
2477,RVT,2
2478,RVV,2
2479,RXS,3
2480,RYG,37
2481,RYK,3
2482,RZE,11
2483,RZR,2
2484,SAB,1
2485,SAE,2
2486,SAF,6
2487,SAH,37
2488,SAL,53
2489,SAN,119
2490,SAP,23
2491,SAT,68
2492,SAV,23
2493,SAW,145
2494,SAX,1
2495,SBA,8
2496,SBH,11
2497,SBN,11
2498,SBP,4
2499,SBW,9
2500,SBY,4
2501,SBZ,5
2502,SCC,5
2503,SCE,5
2504,SCK,1
2505,SCL,79
2506,SCM,1
2507,SCN,9
2508,SCO,21
2509,SCQ,36
2510,SCT,2
2511,SCU,5
2512,SCW,9
2513,SCY,4
2514,SCZ,1
2515,SDD,3
2516,SDE,1
2517,SDF,41
2518,SDG,1
2519,SDJ,31
2520,SDK,6
2521,SDL,5
2522,SDN,2
2523,SDP,2
2524,SDQ,45
2525,SDR,19
2526,SDU,30
2527,SDV,3
2528,SDY,1
2529,SEA,201
2530,SEN,14
2531,SEZ,13
2532,SFA,10
2533,SFB,49
2534,SFG,4
2535,SFJ,8
2536,SFL,1
2537,SFN,2
2538,SFO,249
2539,SFT,3
2540,SGC,14
2541,SGD,1
2542,SGF,14
2543,SGG,1
2544,SGN,109
2545,SGO,2
2546,SGU,2
2547,SGY,3
2548,SHA,205
2549,SHB,2
2550,SHC,1
2551,SHD,1
2552,SHE,136
2553,SHG,2
2554,SHH,3
2555,SHJ,97
2556,SHL,1
2557,SHM,1
2558,SHP,7
2559,SHR,1
2560,SHV,8
2561,SHW,2
2562,SHX,3
2563,SIC,1
2564,SID,20
2565,SIN,408
2566,SIP,7
2567,SIT,3
2568,SJC,60
2569,SJD,51
2570,SJE,2
2571,SJI,1
2572,SJJ,16
2573,SJK,3
2574,SJL,1
2575,SJO,76
2576,SJP,8
2577,SJT,2
2578,SJU,102
2579,SJW,82
2580,SJZ,2
2581,SKB,11
2582,SKD,8
2583,SKE,1
2584,SKG,87
2585,SKK,6
2586,SKN,4
2587,SKO,1
2588,SKP,24
2589,SKT,11
2590,SKU,3
2591,SKX,2
2592,SKZ,6
2593,SLA,6
2594,SLC,141
2595,SLH,3
2596,SLI,2
2597,SLK,1
2598,SLL,7
2599,SLM,1
2600,SLN,1
2601,SLP,8
2602,SLQ,2
2603,SLU,11
2604,SLW,2
2605,SLX,1
2606,SLY,8
2607,SLZ,16
2608,SMA,3
2609,SMF,55
2610,SMI,9
2611,SMK,4
2612,SML,2
2613,SMR,4
2614,SMS,3
2615,SMX,2
2616,SNA,42
2617,SNE,2
2618,SNN,29
2619,SNO,1
2620,SNP,3
2621,SNU,9
2622,SNV,1
2623,SNW,2
2624,SOC,8
2625,SOF,66
2626,SOG,4
2627,SOJ,2
2628,SOM,1
2629,SON,11
2630,SOQ,8
2631,SOU,33
2632,SOW,6
2633,SOY,2
2634,SPB,1
2635,SPC,8
2636,SPD,2
2637,SPN,10
2638,SPP,3
2639,SPR,11
2640,SPS,2
2641,SPU,49
2642,SQS,4
2643,SRA,1
2644,SRE,6
2645,SRG,17
2646,SRK,1
2647,SRP,3
2648,SRQ,13
2649,SRV,1
2650,SRX,2
2651,SRY,6
2652,SRZ,7
2653,SSA,58
2654,SSB,1
2655,SSG,14
2656,SSH,38
2657,SSJ,4
2658,SSR,1
2659,SSY,1
2660,STC,2
2661,STD,4
2662,STG,3
2663,STI,11
2664,STL,114
2665,STM,15
2666,STN,173
2667,STR,137
2668,STS,6
2669,STT,34
2670,STV,3
2671,STW,4
2672,STX,9
2673,STZ,1
2674,SUB,65
2675,SUF,25
2676,SUG,3
2677,SUJ,2
2678,SUK,1
2679,SUR,1
2680,SUV,12
2681,SUX,2
2682,SVA,4
2683,SVB,3
2684,SVC,1
2685,SVD,4
2686,SVG,54
2687,SVI,2
2688,SVJ,3
2689,SVK,3
2690,SVL,2
2691,SVO,199
2692,SVP,2
2693,SVQ,65
2694,SVR,1
2695,SVS,2
2696,SVU,3
2697,SVX,98
2698,SVZ,1
2699,SWA,35
2700,SWF,6
2701,SWJ,2
2702,SXB,34
2703,SXF,83
2704,SXI,1
2705,SXK,1
2706,SXM,58
2707,SXO,1
2708,SXP,2
2709,SXR,14
2710,SXX,1
2711,SYB,1
2712,SYD,208
2713,SYM,3
2714,SYO,1
2715,SYQ,1
2716,SYR,26
2717,SYX,109
2718,SYY,5
2719,SYZ,39
2720,SZA,3
2721,SZB,29
2722,SZE,2
2723,SZG,34
2724,SZI,1
2725,SZX,234
2726,SZZ,7
2727,TAB,4
2728,TAC,5
2729,TAE,6
2730,TAG,3
2731,TAH,5
2732,TAI,7
2733,TAK,8
2734,TAL,4
2735,TAM,7
2736,TAO,188
2737,TAP,2
2738,TAS,81
2739,TAY,2
2740,TBB,2
2741,TBG,4
2742,TBI,3
2743,TBN,1
2744,TBP,1
2745,TBS,34
2746,TBT,1
2747,TBU,5
2748,TBW,1
2749,TBZ,15
2750,TCB,2
2751,TCD,1
2752,TCG,2
2753,TCO,1
2754,TCQ,2
2755,TCR,1
2756,TCT,1
2757,TCZ,5
2758,TDD,8
2759,TDX,1
2760,TEB,1
2761,TEE,1
2762,TEN,5
2763,TEQ,1
2764,TER,10
2765,TET,7
2766,TFF,5
2767,TFI,1
2768,TFN,32
2769,TFS,159
2770,TGC,1
2771,TGD,16
2772,TGG,7
2773,TGH,1
2774,TGI,1
2775,TGJ,2
2776,TGK,1
2777,TGM,5
2778,TGO,13
2779,TGP,1
2780,TGR,1
2781,TGU,18
2782,TGZ,8
2783,THD,1
2784,THE,11
2785,THL,5
2786,THN,1
2787,THR,62
2788,THS,1
2789,THU,2
2790,THX,1
2791,TIA,36
2792,TID,1
2793,TIF,13
2794,TIH,2
2795,TIJ,42
2796,TIM,4
2797,TIP,48
2798,TIR,2
2799,TIU,1
2800,TIV,11
2801,TIZ,3
2802,TJA,8
2803,TJM,22
2804,TJQ,4
2805,TJU,7
2806,TKD,2
2807,TKE,1
2808,TKG,5
2809,TKJ,1
2810,TKK,2
2811,TKP,1
2812,TKS,2
2813,TKU,8
2814,TKX,3
2815,TLA,3
2816,TLC,13
2817,TLE,3
2818,TLH,15
2819,TLJ,1
2820,TLL,38
2821,TLM,6
2822,TLN,3
2823,TLS,78
2824,TLT,3
2825,TLV,136
2826,TMC,3
2827,TME,2
2828,TMI,1
2829,TMJ,2
2830,TML,3
2831,TMM,7
2832,TMP,12
2833,TMR,4
2834,TMS,3
2835,TMT,1
2836,TMU,3
2837,TMW,1
2838,TNA,135
2839,TNC,1
2840,TNG,19
2841,TNJ,3
2842,TNK,2
2843,TNN,1
2844,TNO,4
2845,TNR,27
2846,TNW,1
2847,TOB,4
2848,TOE,2
2849,TOF,5
2850,TOG,1
2851,TOH,3
2852,TOL,5
2853,TOS,26
2854,TOU,1
2855,TOY,9
2856,TPA,138
2857,TPE,264
2858,TPP,6
2859,TPQ,3
2860,TPS,28
2861,TQA,2
2862,TQI,1
2863,TQL,1
2864,TRC,10
2865,TRD,44
2866,TRE,1
2867,TRF,37
2868,TRG,3
2869,TRI,7
2870,TRK,7
2871,TRN,44
2872,TRO,2
2873,TRR,1
2874,TRS,11
2875,TRU,1
2876,TRV,42
2877,TRW,3
2878,TRZ,9
2879,TSA,40
2880,TSE,52
2881,TSF,38
2882,TSH,2
2883,TSJ,3
2884,TSN,147
2885,TSR,13
2886,TST,2
2887,TSV,16
2888,TTA,1
2889,TTE,8
2890,TTJ,1
2891,TTN,14
2892,TTQ,1
2893,TTT,1
2894,TTU,1
2895,TUB,3
2896,TUC,2
2897,TUF,5
2898,TUG,3
2899,TUI,1
2900,TUK,6
2901,TUL,27
2902,TUN,87
2903,TUO,2
2904,TUP,2
2905,TUR,1
2906,TUS,31
2907,TUU,9
2908,TVC,5
2909,TVF,1
2910,TVS,6
2911,TVU,3
2912,TVY,2
2913,TWB,4
2914,TWF,1
2915,TWU,7
2916,TXK,2
2917,TXL,208
2918,TXN,26
2919,TYF,2
2920,TYN,110
2921,TYR,3
2922,TYS,31
2923,TZA,9
2924,TZL,3
2925,TZX,10
2926,UAH,3
2927,UAK,5
2928,UAP,3
2929,UAQ,2
2930,UAS,3
2931,UBA,4
2932,UBJ,3
2933,UBP,3
2934,UCT,4
2935,UDI,15
2936,UDJ,1
2937,UDR,7
2938,UEL,3
2939,UEO,1
2940,UET,14
2941,UFA,23
2942,UGB,1
2943,UGC,7
2944,UIB,6
2945,UIH,3
2946,UIN,1
2947,UIO,39
2948,UIP,1
2949,UKA,3
2950,UKB,12
2951,UKK,8
2952,UKS,2
2953,UKX,2
2954,ULB,3
2955,ULG,1
2956,ULH,2
2957,ULK,6
2958,ULN,21
2959,ULO,1
2960,ULP,2
2961,ULV,2
2962,ULZ,1
2963,UMD,7
2964,UME,8
2965,UNG,5
2966,UNK,8
2967,UNN,1
2968,UPG,56
2969,UPK,2
2970,UPN,2
2971,URA,3
2972,URC,153
2973,URE,1
2974,URG,1
2975,URJ,3
2976,URS,1
2977,URT,4
2978,URY,2
2979,USH,4
2980,USK,2
2981,USM,18
2982,USN,3
2983,UST,1
2984,USU,3
2985,UTH,6
2986,UTN,2
2987,UTP,2
2988,UTS,1
2989,UTT,1
2990,UUA,4
2991,UUD,11
2992,UUS,16
2993,UVE,2
2994,UVF,19
2995,UYL,2
2996,UYN,12
2997,UYU,1
2998,VAA,5
2999,VAI,3
3000,VAK,2
3001,VAN,5
3002,VAO,1
3003,VAR,9
3004,VAS,4
3005,VAW,3
3006,VBV,1
3007,VBY,8
3008,VCA,3
3009,VCE,122
3010,VCL,2
3011,VCP,57
3012,VCS,2
3013,VCT,1
3014,VDA,1
3015,VDB,1
3016,VDC,6
3017,VDE,3
3018,VDH,2
3019,VDM,1
3020,VDS,7
3021,VDZ,2
3022,VEE,2
3023,VEL,1
3024,VER,16
3025,VFA,7
3026,VGA,3
3027,VGO,11
3028,VGZ,1
3029,VHC,2
3030,VHM,4
3031,VIE,308
3032,VIG,3
3033,VII,7
3034,VIJ,4
3035,VIL,3
3036,VIN,1
3037,VIS,1
3038,VIX,16
3039,VKG,1
3040,VKO,86
3041,VKT,2
3042,VLC,82
3043,VLD,3
3044,VLI,28
3045,VLL,4
3046,VLN,10
3047,VLS,1
3048,VLV,2
3049,VLY,1
3050,VNO,58
3051,VNS,10
3052,VNX,4
3053,VOG,10
3054,VOL,5
3055,VOZ,8
3056,VPE,6
3057,VPS,10
3058,VPY,1
3059,VQS,6
3060,VRA,13
3061,VRC,1
3062,VRN,39
3063,VSA,13
3064,VST,3
3065,VTE,25
3066,VTZ,18
3067,VUP,2
3068,VUS,1
3069,VVC,8
3070,VVI,24
3071,VVO,26
3072,VXC,2
3073,VXE,5
3074,VXO,7
3075,WAA,4
3076,WAE,2
3077,WAG,1
3078,WAT,2
3079,WAW,120
3080,WBB,7
3081,WBM,1
3082,WBQ,2
3083,WDH,19
3084,WEF,7
3085,WEI,2
3086,WGA,3
3087,WGP,1
3088,WHK,1
3089,WIC,2
3090,WIL,19
3091,WIN,2
3092,WJR,5
3093,WJU,1
3094,WKJ,2
3095,WLG,32
3096,WLH,1
3097,WLK,2
3098,WLS,3
3099,WMI,26
3100,WMN,4
3101,WMO,4
3102,WMR,1
3103,WMX,1
3104,WNA,1
3105,WNH,2
3106,WNN,3
3107,WNP,2
3108,WNR,2
3109,WNZ,81
3110,WRE,2
3111,WRG,2
3112,WRL,3
3113,WRO,33
3114,WRY,2
3115,WSN,1
3116,WSX,2
3117,WSZ,1
3118,WTK,3
3119,WTL,2
3120,WUA,8
3121,WUH,187
3122,WUS,15
3123,WUX,47
3124,WUZ,3
3125,WVB,3
3126,WWK,6
3127,WWP,1
3128,WWT,2
3129,WXN,12
3130,WYA,1
3131,XAP,5
3132,XBE,4
3133,XBJ,2
3134,XCH,2
3135,XCR,2
3136,XEQ,1
3137,XFN,13
3138,XFW,1
3139,XGR,1
3140,XIC,5
3141,XIL,7
3142,XIY,283
3143,XKH,1
3144,XKS,2
3145,XMH,3
3146,XMN,233
3147,XMS,1
3148,XNA,24
3149,XNN,49
3150,XQP,4
3151,XRY,22
3152,XSB,2
3153,XSC,2
3154,XTG,1
3155,XUZ,20
3156,YAA,1
3157,YAB,2
3158,YAC,2
3159,YAG,2
3160,YAK,2
3161,YAM,4
3162,YAP,2
3163,YAT,2
3164,YAX,2
3165,YAY,3
3166,YBC,6
3167,YBG,4
3168,YBK,6
3169,YBL,6
3170,YBP,10
3171,YBR,1
3172,YBX,3
3173,YCB,6
3174,YCD,2
3175,YCG,2
3176,YCL,2
3177,YCO,5
3178,YCS,6
3179,YCU,29
3180,YCY,4
3181,YDF,7
3182,YDP,4
3183,YDQ,2
3184,YEG,68
3185,YEK,7
3186,YER,3
3187,YES,1
3188,YEV,8
3189,YFA,2
3190,YFB,18
3191,YFC,4
3192,YFH,3
3193,YFJ,1
3194,YFO,4
3195,YFS,2
3196,YGH,2
