,Source_airport,Destination_airport
395,BUF,36
396,BUL,1
397,BUN,2
398,BUQ,4
399,BUR,18
400,BUS,6
401,BUW,1
402,BUX,3
403,BUZ,5
404,BVA,60
405,BVB,3
406,BVC,12
407,BVE,5
408,BVG,4
409,BVH,1
410,BVI,2
411,BVV,1
412,BWA,1
413,BWI,142
414,BWK,1
415,BWN,23
416,BWT,3
417,BXB,1
418,BXR,1
419,BXU,4
420,BYC,4
421,BYN,2
422,BYO,1
423,BZE,28
424,BZG,3
425,BZL,1
426,BZN,8
427,BZO,2
428,BZR,9
429,BZV,25
430,CAB,3
431,CAC,3
432,CAE,17
433,CAG,43
434,CAH,1
435,CAI,151
436,CAJ,1
437,CAK,22
438,CAL,1
439,CAN,338
440,CAP,3
441,CAW,4
442,CAY,7
443,CBB,8
444,CBH,1
445,CBO,3
446,CBQ,2
447,CBR,13
448,CBS,1
449,CBT,2
450,CCC,6
451,CCF,10
452,CCJ,31
453,CCK,1
454,CCM,2
455,CCP,6
456,CCS,90
457,CCU,97
458,CCV,3
459,CDB,5
460,CDC,1
461,CDG,524
462,CDJ,1
463,CDR,3
464,CDV,3
465,CEB,49
466,CEC,2
467,CED,1
468,CEE,7
469,CEG,2
470,CEI,11
471,CEK,20
472,CEM,1
473,CEN,5
474,CEZ,1
475,CFB,3
476,CFC,2
477,CFE,9
478,CFK,1
479,CFN,2
480,CFR,4
481,CFS,4
482,CFU,50
483,CGA,5
484,CGB,33
485,CGD,8
486,CGH,47
487,CGI,1
488,CGK,185
489,CGM,1
490,CGN,134
491,CGO,174
492,CGP,16
493,CGQ,64
494,CGR,17
495,CGY,7
496,CHA,16
497,CHC,34
498,CHG,3
499,CHO,13
500,CHQ,44
501,CHS,34
502,CHU,1
503,CHX,1
504,CHY,1
505,CIA,50
506,CIC,1
507,CID,17
508,CIF,15
509,CIH,16
510,CIJ,2
511,CIK,2
512,CIP,1
513,CIT,10
514,CIU,1
515,CIX,1
516,CIY,8
517,CIZ,1
518,CJA,2
519,CJB,17
520,CJC,6
